provider,category,product,dsl,isDecorator,resourceType,tagName,subType,iconURL,typeURI,docURL
GCP_Icons,Management Tools,Cloud Shell,gcp_Cloud_Shell,false,cloud,terminal,gcp_Cloud_Shell,assets/icons/GCP Icons/Products and services/Management Tools/Cloud Shell.svg,,
GCP_Icons,Management Tools,Debugger,gcp_Debugger,false,cloud,terminal,gcp_Debugger,assets/icons/GCP Icons/Products and services/Management Tools/Debugger.svg,,
GCP_Icons,Management Tools,Error Reporting,gcp_Error_Reporting,false,cloud,terminal,gcp_Error_Reporting,assets/icons/GCP Icons/Products and services/Management Tools/Error Reporting.svg,,
GCP_Icons,Management Tools,Logging,gcp_Logging,false,cloud,terminal,gcp_Logging,assets/icons/GCP Icons/Products and services/Management Tools/Logging.svg,,
GCP_Icons,Management Tools,Monitoring,gcp_Monitoring,false,cloud,terminal,gcp_Monitoring,assets/icons/GCP Icons/Products and services/Management Tools/Monitoring.svg,,
GCP_Icons,Management Tools,Profiler,gcp_Profiler,false,cloud,terminal,gcp_Profiler,assets/icons/GCP Icons/Products and services/Management Tools/Profiler.svg,,
GCP_Icons,Management Tools,Stackdriver,gcp_Stackdriver,false,cloud,terminal,gcp_Stackdriver,assets/icons/GCP Icons/Products and services/Management Tools/Stackdriver.svg,,
GCP_Icons,Management Tools,Trace,gcp_Trace,false,cloud,terminal,gcp_Trace,assets/icons/GCP Icons/Products and services/Management Tools/Trace.svg,,
GCP_Icons,Internet of Things,Cloud IoT Core,gcp_Cloud_IoT_Core,false,cloud,terminal,gcp_Cloud_IoT_Core,assets/icons/GCP Icons/Products and services/Internet of Things/Cloud IoT Core.svg,,
GCP_Icons,Hybrid and Multi Cloud,Stackdriver,gcp_Stackdriver,false,cloud,terminal,gcp_Stackdriver,assets/icons/GCP Icons/Products and services/Hybrid and Multi Cloud/Stackdriver.svg,,
GCP_Icons,Hybrid and Multi Cloud,Traffic Director,gcp_Traffic_Director,false,cloud,terminal,gcp_Traffic_Director,assets/icons/GCP Icons/Products and services/Hybrid and Multi Cloud/Traffic Director.svg,,
GCP_Icons,Developer Tools,Cloud Build,gcp_Cloud_Build,false,cloud,terminal,gcp_Cloud_Build,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Build.svg,,
GCP_Icons,Developer Tools,Cloud Code for IntelliJ,gcp_Cloud_Code_for_IntelliJ,false,cloud,terminal,gcp_Cloud_Code_for_IntelliJ,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Code for IntelliJ.svg,,
GCP_Icons,Developer Tools,Cloud Code,gcp_Cloud_Code,false,cloud,terminal,gcp_Cloud_Code,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Code.svg,,
GCP_Icons,Developer Tools,Cloud Scheduler,gcp_Cloud_Scheduler,false,cloud,terminal,gcp_Cloud_Scheduler,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Scheduler.svg,,
GCP_Icons,Developer Tools,Cloud SDK,gcp_Cloud_SDK,false,cloud,terminal,gcp_Cloud_SDK,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud SDK.svg,,
GCP_Icons,Developer Tools,Cloud Source Repositories,gcp_Cloud_Source_Repositories,false,cloud,terminal,gcp_Cloud_Source_Repositories,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Source Repositories.svg,,
GCP_Icons,Developer Tools,Cloud Tasks,gcp_Cloud_Tasks,false,cloud,terminal,gcp_Cloud_Tasks,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Tasks.svg,,
GCP_Icons,Developer Tools,Cloud Test Lab,gcp_Cloud_Test_Lab,false,cloud,terminal,gcp_Cloud_Test_Lab,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Test Lab.svg,,
GCP_Icons,Developer Tools,Cloud Tools for Eclipse,gcp_Cloud_Tools_for_Eclipse,false,cloud,terminal,gcp_Cloud_Tools_for_Eclipse,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Tools for Eclipse.svg,,
GCP_Icons,Developer Tools,Cloud Tools for PowerShell,gcp_Cloud_Tools_for_PowerShell,false,cloud,terminal,gcp_Cloud_Tools_for_PowerShell,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Tools for PowerShell.svg,,
GCP_Icons,Developer Tools,Cloud Tools for Visual Studio,gcp_Cloud_Tools_for_Visual_Studio,false,cloud,terminal,gcp_Cloud_Tools_for_Visual_Studio,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Tools for Visual Studio.svg,,
GCP_Icons,Developer Tools,Container Registry,gcp_Container_Registry,false,cloud,terminal,gcp_Container_Registry,assets/icons/GCP Icons/Products and services/Developer Tools/Container Registry.svg,,
GCP_Icons,Developer Tools,Gradle App Engine Plugin,gcp_Gradle_App_Engine_Plugin,false,cloud,terminal,gcp_Gradle_App_Engine_Plugin,assets/icons/GCP Icons/Products and services/Developer Tools/Gradle App Engine Plugin.svg,,
